word	when	label	sentences
not	1 Before	Not a Complaint	@ATCmemes @united well then my work here is done! :)
off	1 Before	Not a Complaint	@united Yep! Not my first rodeo. 👍🏽
get	1 Before	High Intensity Complaint	Aaaand	 the crew has pretty much acknowledged that we're all missing our connections. Because @united can't find an open gate. At O'Hare.
how	1 Before	High Intensity Complaint	@united filled out missing luggage form	 called SFO and United. Is there a way I can I talk to a real person not a voicemail? Thank you :)
be	1 Before	High Intensity Complaint	@united Over 3 hours late	 using rewards miles. I'll file a complaint email online.
from	1 Before	Not a Complaint	@united even tho we've been delayed a day	 your custserv has been incredible - thank you!
have	1 Before	Not a Complaint	@united even tho we've been delayed a day	 your custserv has been incredible - thank you!
it	1 Before	General Negative Complaint	RT @StevenLouis93: Hi @united any reason why your customer service representatives can't explain why @imTrapo was removed from the flight he legally purchased?
was	1 Before	Not a Complaint	RT @united: From Cameroon to Chicago. For #BlackHistoryMonth	 one of our analysts recalls his multicultural journey.…
fly	1 Before	General Negative Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
leggings	1 Before	Not a Complaint	@united loved the #unitedclub in LA; suggest a no phones	 no talking area. Quiet Club?… https://t.co/FXNRgJDxMO
passengers	1 Before	High Intensity Complaint	#united #lostbag #lostluggage @united Plan: Seattle ✈️ San Francisco ✈️… https://t.co/oWhg7egnjN
at	1 Before	General Negative Complaint	@united I don't understand how you can send us to get a gift card for a flight that cost more than 1k and don't take two payments
did	1 Before	Not a Complaint	RT @Leokav10: @ManUtdSpares @MUFC_Tickets_ @united looking for one for Saturday can meet at ground🔴🇾🇪
United	1 Before	Low Intensity Complaint	What a shock! Yet another @united flight not on time
This	1 Before	Not a Complaint	RT @united: See how our progress helped us rank highest among U.S.-based global carriers in a study by @thepointsguy:…
#flight3411	1 Before	Not a Complaint	@Rob819 @united @AirCanada the train is faster #oldwayisthebestway
overbook	1 Before	Not a Complaint	@united thank you
plane.	1 Before	Not a Complaint	$739 r/t - Charlotte (CLT) to Seoul	 South Korea (ICN): https://t.co/XO8IgofSN7 | @United @CLTAirport https://t.co/sgN8ICqtyn
@united:	1 Before	Not a Complaint	$739 r/t - Charlotte (CLT) to Seoul	 South Korea (ICN): https://t.co/XO8IgofSN7 | @United @CLTAirport https://t.co/sgN8ICqtyn
force	1 Before	Not a Complaint	@united I need to speak to an agent. The last one told me you guys are having phone issues. Can someone call me?
so	1 Before	Low Intensity Complaint	@AlisonRosen @TheHashtagAL @jennakimjones I feel so vindicated that I'm not the only one with horrible @united customer service! Everytime!
like	1 Before	General Negative Complaint	@united. I'm disappointed with your numerous flight delays due to mechanical issues.
Here's	1 Before	Low Intensity Complaint	@united. I'm disappointed with your numerous flight delays due to mechanical issues.
&	1 Before	Not a Complaint	Blarf. Should have flown @united. Won't fly @AmericanAir next time. 😣✈️ #flythefriendlyskys
A	1 Before	Not a Complaint	Blarf. Should have flown @united. Won't fly @AmericanAir next time. 😣✈️ #flythefriendlyskys
an	1 Before	Not a Complaint	@united this is after your reps told me last night that this would not happen.
we	1 Before	General Negative Complaint	@United so exciting you'll be flying from #CMI	 but so disappointing you're doing the same #Ord flights as @AmericanAir.
decided	1 Before	Not a Complaint	@aaronindenver @united Sorry Bro. We have all been there!
their	1 Before	High Intensity Complaint	RT @KaitHarrisonxo: This is so fucking sad	 @united you should be ashamed https://t.co/Oy9choSIE0
who	1 Before	High Intensity Complaint	RT @joannavolavka: Second flight in less than a week on @united that was delayed 3+ hours	 no notification sent via email or text despite my request. Not cool.
will	1 Before	General Negative Complaint	@united it's cool	 it's just a bogus rule. I think y'all should huddle up w/ travel agencies & remind them about clear communication
out	1 Before	High Intensity Complaint	FTR @united is helping me out soooo much via DM. the quality of their customer service	 esp for a giant intl. co	 is unparalleled https://t.co/tDNb3zegp6
random	1 Before	General Negative Complaint	@united do you guys even try or is being late	 unorderly	 and unhelpful your best effort?
as	1 Before	Low Intensity Complaint	@united thank you.. but your "shortly" 60 mins x3 + has cost this charity a whole load of $ as calls are not free from TCI.
@JayseDavid:	1 Before	General Negative Complaint	@united thank you.. but your "shortly" 60 mins x3 + has cost this charity a whole load of $ as calls are not free from TCI.
up	1 Before	Not a Complaint	RT @SheriForHouston: Yes!!! Thank you @united We will always be grateful! ❤️ https://t.co/go63EOvasY
You	1 Before	General Negative Complaint	RT @msaguilar777: Repulsed @United unfairly kicked #disabled #elderly grandma out of bizclass. Stop #discrimination!…
it:	1 Before	Low Intensity Complaint	RT @msaguilar777: Repulsed @United unfairly kicked #disabled #elderly grandma out of bizclass. Stop #discrimination!…
world	1 Before	High Intensity Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
me	1 Before	General Negative Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
but	1 Before	General Negative Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
no	1 Before	Not a Complaint	$536 r/t - Phoenix (PHX) to Panama City	 Panama (PTY): https://t.co/5aKv6S75jm | @United @PHXSkyHarbor https://t.co/nwXDGuVSwU
just	1 Before	General Negative Complaint	@united We need your help! Can you get us as far from Exeter as possible? It's for great cause! #jailbreak #ExeterRAG
can	1 Before	Not a Complaint	RT @Richard_Kadrey: Because they oversold the flight	 I just got my seat downgraded. @united	 you are goddamn worst.
Hey	1 Before	Not a Complaint	@united Thank you for the way you handled compensation for my cancelled flight!! Amazed by the speed in service. Happy customer! #ua973
because	1 Before	High Intensity Complaint	@united I sure am! I booked to fly to Denpasar & 2.5 weeks later you tell me I have to pay an extra $1720!!! I could fly 1st class for that.
if	1 Before	High Intensity Complaint	@united almost missed connection due to first flight late and wrong departing gate listed on your app.
about	1 Before	High Intensity Complaint	@united yes	 why did they not hold the door for 1 more minute!?
@shannonrwatts	1 Before	Not a Complaint	@united yes I booked @Delta	 which is schedule to depart at 7.40 am.
or	1 Before	High Intensity Complaint	@united yes. But it sure took many hours to do it.#frustrated
QT	1 Before	High Intensity Complaint	@united yes. But it sure took many hours to do it.#frustrated
;	1 Before	General Negative Complaint	@united Beware MP members	 redeeming miles for gift cards!!! I redeemed miles 3 mo ago & have talked support 8 times with ZERO resolution.
what	1 Before	Not a Complaint	RT @airfarewatchdog: #Chicago #ORD to Los Angeles #LAX $159 round-trip	 nonstop	 on @united https://t.co/LBSIDYMv44 #airfare https://t.co/Kgr50spnh5
I'm	1 Before	Not a Complaint	@united It should've been. Bought the flight and upgrade seat with points as well all under the account.
our	1 Before	Not a Complaint	@united Nope	 by myself.
flying	1 Before	Not a Complaint	@united Nope	 by myself.
when	1 Before	Not a Complaint	RT @TravelPaso: Thanks to @united & @oursiaupdates	 starting June 8th you can fly directly into the @VisitSLOC #RegionalAirport fr…
by	1 Before	Low Intensity Complaint	@united UA fault for UA4237 ORD-RIC. Can't service toilet right 1st or 2nd time. 4th in a row. RIC-IAD IAD-DTW(luggage) DTW-ORD. Now this
If	1 Before	Not a Complaint	@united Really bad service. #firstclassnotworthit
all	1 Before	Not a Complaint	@united club passes expired on 2/28and you're really not gonna let me in today??? Makes me want to avoid United if you're gonna be so petty.
isn't	1 Before	General Negative Complaint	@united delays 	 captains timing out 	 they can't get it right ... people go elsewhere after this weekend I am
do	1 Before	Not a Complaint	@united we still have hope. Fear tag fell off.
time	1 Before	High Intensity Complaint	@united thanks for separating my 6 and 11 year old brothers and I from my parents 🖕🏽
don't	1 Before	Low Intensity Complaint	@aviel @united They used to use PINs. Don't anymore. Also don't use usernames. Now you have to log in with mileage number and password.
The	1 Before	Low Intensity Complaint	@realDonaldTrump i know you're intending to make America great again	 but any chance you could make @united schedule a flight on time first?
girls	1 Before	Not a Complaint	8 hour delay from LAX to Heathrow with @united. Nothing but clam chowder. Great.
give	1 Before	High Intensity Complaint	@united your staff are rude. I can take a pic of the lady if you would like? And your info and service is way behind modern airlines.
them	1 Before	Not a Complaint	The city hopes luring more Denver travelers to @FlyFromCOU will help pay a $600	000 revenue guarantee to @united. https://t.co/F6kOtIK7b2
@shannonrwatts:	1 Before	Not a Complaint	@united looking forward to flying with you again in July.
seat	1 Before	Not a Complaint	@LanaDelRuv @united
plane	1 Before	High Intensity Complaint	@united good morning Why does first class have to use kiosks and tag their own bag? I understand this is a first world complaint but c'mon!
dress	1 Before	High Intensity Complaint	Flying @AmericanAirway to Grenada today (result of zero remaining @united loyalty...vote with money	 fly any other airline)
should	1 Before	High Intensity Complaint	@PKBickerstaffe @united make sure you're checking for the refunds you're entitled to under EU law at https://t.co/afbPIPhAT0
airline	1 Before	Not a Complaint	@PKBickerstaffe @united make sure you're checking for the refunds you're entitled to under EU law at https://t.co/afbPIPhAT0
#united	1 Before	High Intensity Complaint	@united 2. They gave wrong information #lied? on the phone last night when they said they could fix at airport. 3. Should have cancelled &
take	1 Before	Not a Complaint	@united reissued & waived fees. #fail all the way around for customer service. #united
had	1 Before	Not a Complaint	@united Sorry no longer cuts it. @BlkCarly did they give you this same runaround?!
customer	1 Before	General Negative Complaint	@united @BlkCarly "sounds like" @united where is your follow up and continued apologies
Airlines	1 Before	General Negative Complaint	@united @BlkCarly do you hear this shit!??
@Wendys	1 Before	Not a Complaint	@united 699. Seated on the right side and they were on the phone by the door. Older blonde and young hire.
has	1 Before	Not a Complaint	@united 699. Seated on the right side and they were on the phone by the door. Older blonde and young hire.
@Delta	1 Before	General Negative Complaint	RT @momentitus: 9 of 10 @united flights the past 2 mos	 7th @united flight delay. 👎👎
people	1 Before	General Negative Complaint	@united every time with United Airlines. Its like they don't even try/care. The worst.
@united.	1 Before	General Negative Complaint	@united every flight now I can check the bag at boarding. Why do I pay the $25 ? Bad inventive.
would	1 Before	Not a Complaint	@lastrealmanROH @united @ringofhonor A real man heads out to Manhattan Mayhem on the coldest night of the year!
any	1 Before	Not a Complaint	@united Yes I am	 thanks! And no. The rep sent me the short URL of https://t.co/JjPSlkNGXl.
free	1 Before	Not a Complaint	@united Thanks so much AH . This is so so beautiful to hear this .
flights	1 Before	Not a Complaint	@united Thanks so much AH . This is so so beautiful to hear this .
know	1 Before	Not a Complaint	Pilot : we're gonna see how the weather is upstairs	 then "put that good service on yah" @united #milehigh
now	1 Before	Low Intensity Complaint	@united another 15 minutes in line. Up to 1.75 hr in line. 18 customers in front of me. More support on the ground. #SimpleReally
wear	1 Before	General Negative Complaint	@united another 15 minutes in line. Up to 1.75 hr in line. 18 customers in front of me. More support on the ground. #SimpleReally
passenger	1 Before	Not a Complaint	@united Thank you United admin staff Member Joy for making our flight changes a hassel free experience	 cheers	 keep up great work guys.
more	1 Before	Not a Complaint	@united Thank you United admin staff Member Joy for making our flight changes a hassel free experience	 cheers	 keep up great work guys.
never	1 Before	Not a Complaint	Those Lufthansa seats were just a bit too comfortable. I'd really prefer something that feels like cardboard. Oh	 thanks @united #nailedit
were	1 Before	Not a Complaint	@united	 what's going @ EWR? Trying 2 connect from B 2 C and we've waited over 20 min. for shuttle. Now concerned about making next flight.
one	1 Before	Not a Complaint	@united FTW. Finally getting those good benefits of being a premier 1k member
guess	1 Before	Not a Complaint	RT @TClarkWZ: Delayed flight AND the seat cushion in my assigned seat is not physically attached at all... you're really testing me @united
-	1 Before	Not a Complaint	Such a pleasure flying on @aircanada from #Houston to #YYZ- USB & movies. @united flights from #SanJose #CostaRica no power & movies for $$ https://t.co/vB1AI1tC5A
@carterjwm	1 Before	High Intensity Complaint	@united how do i go thru the form process with NO ACCESS to computer!!! read this chain please. how do I get call back from customer care?
his	1 Before	High Intensity Complaint	@united how do i go thru the form process with NO ACCESS to computer!!! read this chain please. how do I get call back from customer care?
new	1 Before	Not a Complaint	RT @JetPhotos: The @united ‘eco-skies’ 737 landing at @fly2ohare. https://t.co/mqx2KvV5eu © Martin Pinnau https://t.co/i2M6vhpfRn
way	1 Before	Not a Complaint	@JasonLloydNBA @AmericanAir @TheAthleticCLE @united Hah! If you use a bag with wheels	 you're doing it wrong. You should know this!
going	1 Before	General Negative Complaint	Unless every immigration website is wrong @united was totally out of line by just saying "no" and pulling my bag off. Awful. No solitions. https://t.co/bTjfZ8aDDh
CEO	1 Before	Not a Complaint	That's the plan. Federal Canadian legislation says otherwise @united https://t.co/wRBdZtDPhv
only	1 Before	General Negative Complaint	@CTVCourtney @united @iah Don't forget calling BBB as well - regardless of what happens
service	1 Before	General Negative Complaint	RT @CTVCourtney: According to @united agents who ruined our honeymoon it's not. Waiting for answers. https://t.co/4ts2GHvrlq
They	1 Before	Low Intensity Complaint	RT @CTVCourtney: According to @united agents who ruined our honeymoon it's not. Waiting for answers. https://t.co/4ts2GHvrlq
What	1 Before	Not a Complaint	We passed customs no problem. Just about to board and the agent takes issue with no solution. @united https://t.co/T5zCTT9VwM
women	1 Before	Not a Complaint	At least until there is actual clarity and acknowledgment of Canadian rules @united @iah https://t.co/ctJ38dCL2E
than	1 Before	Not a Complaint	@united didn't have the app. Need to buy WiFi to download the app to watch films.
here	1 Before	Not a Complaint	@united 605	 3A
over	1 Before	Low Intensity Complaint	@united can you provide the AC flight code? Can't find flight details on SFO or yyz sites. Also flight departs at 8est shouldn't be in air
dragged	1 Before	Not a Complaint	@united Can't wait to go to New York for the first time . Yay !!!!!!!!!! See u then.
being	1 Before	Not a Complaint	@united we love https://t.co/xBrG0liX9X
agent	1 Before	High Intensity Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
you're	1 Before	General Negative Complaint	RT @prizmsm: @united miss your flight. You will be bored on your flight because the free entertainment that they offer is FALSE you will starve because
see	1 Before	High Intensity Complaint	@united Yeah	 not really helpfull	 like I said	 I can't take half a day off of work to go to the airport for your employe damaging my good..
it's	1 Before	Not a Complaint	@united Flew into Raleigh for a business trip! Always pleased with United.
think	1 Before	Not a Complaint	@united Flew into Raleigh for a business trip! Always pleased with United.
can't	1 Before	General Negative Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
gate	1 Before	Not a Complaint	@united Please DM contact info for a manager in your baggage handling division.
been	1 Before	High Intensity Complaint	RT @SChristianson: @united and @ScottKirbyUAL Needs to fix their policy. Death of a family member flight change shouldn't cost $4000. 😡#unitedairlinessuck
he	1 Before	Not a Complaint	SCARFY |: Manchester @United to Make Shock £35 Move for Versatile Midfielder in the summer ... https://t.co/HX2nZljsJP
after	1 Before	Not a Complaint	RT @TamaraMcCleary: Waving goodbye to #Barcelona 👋 Aerial views thanks to @united! I'll never tire of these views.…
good	1 Before	Not a Complaint	RT @Joy_Villa: Goodbye #DC! I adore you! 😍 #airplane #bathroom #selfie 😆 @March4Trump #march4trumpdc #love #maga @united https://t.co/2jSkaL7xXt
airlines	1 Before	Not a Complaint	@united I wish I could. But I had to deboard UA2014 b/c someone’s phone dropped into the APU batt. comp. rebooked for red eye. Don’t ask 🙈
make	1 Before	General Negative Complaint	RT @dfresh500: @Joy_Villa @March4Trump @united thank you for standing up against the crooked and bullies on the left.
need	1 Before	High Intensity Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
flight.	1 Before	Not a Complaint	RT @GAB0R123: @Joy_Villa @March4Trump @united Flipped it for you and corrected the color. You rock Joy! https://t.co/XYv9u6Fntf
girl	1 Before	Not a Complaint	RT @GAB0R123: @Joy_Villa @March4Trump @united Flipped it for you and corrected the color. You rock Joy! https://t.co/XYv9u6Fntf
leggings.	1 Before	High Intensity Complaint	@Joy_Villa @March4Trump @united #Boycott @kayJewelers denied #VeteranWives employment Hire Muslims #PresidentDuterte #AndreSoriano #FILAM
could	1 Before	Not a Complaint	RT @Joy_Villa: Goodbye #DC! I adore you! 😍 #airplane #bathroom #selfie 😆 @March4Trump #march4trumpdc #love #maga @united https://t.co/2jSkaL7xXt
some	1 Before	Not a Complaint	RT @Joy_Villa: Goodbye #DC! I adore you! 😍 #airplane #bathroom #selfie 😆 @March4Trump #march4trumpdc #love #maga @united https://t.co/2jSkaL7xXt
So	1 Before	High Intensity Complaint	Am I the only one underwhelmed by @united #Polaris? FC meal today LIR>IAH. My dog wouldn't eat this. #GlobalServices #UnitedPolaris https://t.co/t9yCfl2NhN
overbooked	1 Before	General Negative Complaint	RT @CTVCourtney: Not allowed on @united flight to Costa Rica b/c @CTVStanfield's passport expires in May. @TravelGoC says no limit n…
@AmericanAir	1 Before	Low Intensity Complaint	RT @CTVCourtney: Not allowed on @united flight to Costa Rica b/c @CTVStanfield's passport expires in May. @TravelGoC says no limit n…
doctor	1 Before	High Intensity Complaint	RT @julioenmanuelle: B777-300ER 😍😍 @weareunited @united #beingunited #ihavefaith https://t.co/bGRV7YbGrP
.	1 Before	Not a Complaint	@maygunhill @nacole99 @SouthwestAir @Delta @united I bet #united responds the fastest. They're usually pretty quick. #runchat
go	1 Before	Not a Complaint	@griz1 @LasVegasSun @united @AirplanePics @SEIA @SolarIndustry Nice view! Thanks for sharing!! Good night!
where	1 Before	Not a Complaint	RT @BryanMMoore: So @United they are saying on the speaker that even air traffic control can't reach you... what is going on? What if this…
police	1 Before	General Negative Complaint	RT @BryanMMoore: So @United they are saying on the speaker that even air traffic control can't reach you... what is going on? What if this…
@united!	1 Before	Not a Complaint	@RyanTheRealRT @CTVCourtney @united Yeah I believe that is what their Contract of Carriage says.
code	1 Before	General Negative Complaint	Always have the WORST flying experience with @united. Makes no sense how ur planes are 2+ hrs delayed. But others airlines aren't.
why	1 Before	Not a Complaint	@united yes I have
us	1 Before	Not a Complaint	@united the new 777-300er is a great plane but how did you not stock it with champagne. So much for premier service. 😳✈️
business	1 Before	General Negative Complaint	RT @WanderLostUS: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
10	1 Before	Not a Complaint	RT @APEastRegion: Chris Christie mentor who pressured @United into South Carolina flight now faces sentencing for bribery. Story:…
paying	1 Before	Not a Complaint	@united naw	 trying to be budget conscientious.🙂
next	1 Before	Not a Complaint	RT @CTVCourtney: Yes. Our honeymoon ruined	 out $4000 for @united decision not to let canadian with valid passport on flight to San…
limited	1 Before	Not a Complaint	@united flight ua5356 has returned to gate and deplained...
him	1 Before	Not a Complaint	RT @airfarewatchdog: #Buffalo #BUF to Los Angeles #LAX $188 round-trip on @united https://t.co/6C4A1BXqOg #airfare https://t.co/m0PSafmz8r
letting	1 Before	Not a Complaint	RT @airfarewatchdog: #Buffalo #BUF to Los Angeles #LAX $188 round-trip on @united https://t.co/6C4A1BXqOg #airfare https://t.co/m0PSafmz8r
wearing	1 Before	Not a Complaint	Nothing like the smell of #jetfuel in the morning to get your #daystarted @united @Vegas
skies.	1 Before	High Intensity Complaint	@united 2 hours on the phone to get checked and now stuck at a empty desk in MCO trying to get a boarding pass
It's	1 Before	Not a Complaint	RT @SecretFlying: Chicago to San Jose	 Costa Rica for only $282 roundtrip with @United https://t.co/or0eqvpwxe https://t.co/LFbIzgFeIa
trying	1 Before	Not a Complaint	Fully boarded but I had to check my carry on. Empty seat next to me too. Thanks @united 👍🏻 https://t.co/unh8ekfgZy
#unacceptable	1 Before	General Negative Complaint	@united or to maximize the wear on our baggage and inconvenience us at the other end. But as long as your metrics are ok who cares right?
unfriendly	1 Before	General Negative Complaint	This is what you call #EconomyPlus @united ? #Fail #seat14C https://t.co/Okix8fpsmv
then	1 Before	Not a Complaint	RT @air2day: #LoMásLeído @United Airlines ajusta (nuevamente) el itinerario de sus vuelos a #Caracas #Venezuela https://t.co/pMSnWBhkhX
got	1 Before	Not a Complaint	@united 596 Des Moines to Denver
employees	1 Before	Not a Complaint	@united 1838
#lackofcustomerservice	1 Before	Not a Complaint	RT @SecretFlying: Seattle to Stockholm	 Sweden for only $408 roundtrip with @United & @AirCanada https://t.co/HPKKoGQcmO https://t.co/Rc9wTlj6mY
We	1 Before	General Negative Complaint	@united Waiting. 2m cost me 2hrs. Easier to overbook flights and promote the stand bys than undo everything. #customerservice fail.
@Navang25:	1 Before	Not a Complaint	No jail time for ex @PANYNJ chief after he admits to bribing @United for easy route to his vacation home. We confront him at 6PM @PIX11News https://t.co/uFeA451UlJ
harassment	1 Before	General Negative Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
even	1 Before	Low Intensity Complaint	@united Refused to let me taken an open seat	 too; said it was an "upgrade seat." #likethatmatters #unfriendlyskies #southwestisbetter
No	1 Before	High Intensity Complaint	@united Refused to let me taken an open seat	 too; said it was an "upgrade seat." #likethatmatters #unfriendlyskies #southwestisbetter
year	1 Before	Low Intensity Complaint	RT @TonyBokhoven: On my 4th @united delay out of @dsmairport ! Good thing im leaving on a Monday to see a Thursday race!
Why	1 Before	General Negative Complaint	RT @BoingBoing: Chris Christie's Port Authority boss blackmailed @United into scheduling a flight to haul him to his weekend getaway https://t.co/2ghK0oNVMW
2	1 Before	Not a Complaint	RT @BoingBoing: Chris Christie's Port Authority boss blackmailed @United into scheduling a flight to haul him to his weekend getaway https://t.co/2ghK0oNVMW
update	1 Before	High Intensity Complaint	@united and I have been delayed the last 3 times I flew
@kaylyn_davis:	1 Before	High Intensity Complaint	@united as making it home for my meetings isn't possible	how about a voucher for future travel expenses equivalent to my car rental and gas?
#flythefriendlyskies	1 Before	High Intensity Complaint	@united would love some help with getting the same price for my tix that I was supposed to have bought last night
employee	1 Before	Not a Complaint	RT @RIOgaleao: Tecnologia de ponta conectando pessoas! O moderno @Boeing 787 Dreamliner da @United liga o Rio de Janeiro a Houston. https://t.co/NCCo7WHlYE
we'll	1 Before	Not a Complaint	RT @RIOgaleao: Tecnologia de ponta conectando pessoas! O moderno @Boeing 787 Dreamliner da @United liga o Rio de Janeiro a Houston. https://t.co/NCCo7WHlYE
million	1 Before	Not a Complaint	#DevOps expert @nicolefv & @CAInc execs join @united @CNN @gmfinancial @JewelersMutual @ #DOVS17 https://t.co/s9Pj9yEuJp
app	1 Before	Low Intensity Complaint	@united Trying to rebook flights at 0430 after waking up to a cancelled flight from DLH:SAV has been	 umm	 challenging.
pass	1 Before	General Negative Complaint	@united Trying to rebook flights at 0430 after waking up to a cancelled flight from DLH:SAV has been	 umm	 challenging.
travel	1 Before	High Intensity Complaint	Feeling stupid for not knowing about the @united #MileagePlus changes. Anyone know of an airline that gives miles for miles FLOWN?
poor	1 Before	High Intensity Complaint	@united this is garbage and I'm going to be late for work and essentially ran through the airport for nothing
want	1 Before	Not a Complaint	Hey @united! What's group 2 1/2? New boarding group? #united #huh ?
right	1 Before	Not a Complaint	@united Pls reduce amount of useless "info" flight attendants do at flight-start. It's 2017	 shrill announcement not best way to communicate
again	1 Before	Not a Complaint	@chelseatholen @united you actually just got unitsd to tweet at you😂💀
18	1 Before	Not a Complaint	@united what is your help desk handle?
@FoxNews	1 Before	Not a Complaint	@united what is your help desk handle?
video	1 Before	Not a Complaint	Hey #Chicago! @SouthwestAir @united @FlyFrontier @SpiritAirlines & @AmericanAir offer nonstop flights here. #sunshine #SpringTraining #beach https://t.co/nJfDEXGpaX
Not	1 Before	Not a Complaint	SUMMER: Miami to Paris	 France for only $350 roundtrip with @United & @FlySWISS. https://t.co/ep8ZDv9hHQ https://t.co/7f5l1Ox4lF
still	1 Before	Not a Complaint	A Guide to United's PerksPlus program https://t.co/NVZUBMeuwO #business #corporate #travel @united https://t.co/KcGvUelzhf
city	1 Before	Not a Complaint	A Guide to United's PerksPlus program https://t.co/NVZUBMeuwO #business #corporate #travel @united https://t.co/KcGvUelzhf
man	1 Before	High Intensity Complaint	I have a question regarding my flight. If i call @united they direct me to @lufthansa and vice versa. Its a Reward Milage Plus Ticket 2/1
When	1 Before	Not a Complaint	@united yes: that new plane just needed the catering truck. That took an hour. And then they announced there was no pilot. What a mess.
removed	1 Before	General Negative Complaint	@united modifica ruta Houston - Caracas para que tripulación no duerma en Venezuela
Bad	1 Before	Not a Complaint	At @united IT is no longer a service to the business	 it's driving the business. Bring #IT & business together: https://t.co/6tfqfti7Bh https://t.co/AwzehWLLLs
Apparently	1 Before	Low Intensity Complaint	Hey @united	 I paid for internet access on your flight and it didn't work at all. Please donate my $15.99 to a veterans charity. Thanks!
RTs	1 Before	High Intensity Complaint	@united ok thx so I just book the flight and deal with luggage later?
am	1 Before	Not a Complaint	@united yah would have loved to pay with my electronic travel certificate voucher i got recently	 not possible	 right?
doesn't	1 Before	Low Intensity Complaint	@united TY for reversing your policies in 2016 so people w/ infant in arms can pre-board quickly & safely. @AmericanAir should take note.
customers	1 Before	Not a Complaint	@united I was recently credited travel funds for a flight I cancelled	 but now I can't figure out how to use them. Conf# doesn't work. Help?
her	1 Before	Not a Complaint	@united I did in Denver and Boston	 both said to contact the maker of the stroller to see if it is still under warranty.Not the makers fault
work	1 Before	Not a Complaint	@united maybe some snacks?
@CNN	1 Before	Not a Complaint	RT @SecretFlying: Houston	 TX to Manila	 Philippines for only $549 roundtrip with @United https://t.co/kZfqJGM782 https://t.co/U7U543O7QS
